week,date,topic,lecture notes,supplemental reading,homework,project
1,Jan 17,introduction to formal methods,[lecture01](https://piazza.com/class_profile/get_resource/lczhmwfibzedv/ld2netcug636mx),,[hw01](https://forms.gle/EJiVcMs6d2MRo2vA6) assigned,
,Jan 19,natural deduction,[lecture02](https://piazza.com/class_profile/get_resource/lczhmwfibzedv/ld5hpvh77xt2bc),LICS 1.1-1.2,[hw01](https://forms.gle/EJiVcMs6d2MRo2vA6) due,
2,Jan 24,"propositional logic, semantics of propositional logic","[lecture03](https://piazza.com/class_profile/get_resource/lczhmwfibzedv/ldclbubxmo13dt), [lecture04](https://piazza.com/class_profile/get_resource/lczhmwfibzedv/ldclbyuu7353ok)","LICS 1.3, LICS 1.4",,
,Jan 26,normal forms,[lecture05](https://piazza.com/class_profile/get_resource/lczhmwfibzedv/ldcll2ut8mr36e),LICS 1.5,,
3,Jan 31,SAT solving,[lecture06](https://piazza.com/class_profile/get_resource/lczhmwfibzedv/ldcloeblwwi36t),"LICS 1.6, [CDCL](http://satassociation.org/articles/FAIA185-0131.pdf)",[hw02](https://colostate.instructure.com/courses/162255/assignments/2090921) assigned,
,Feb 2,predicate logic,[lecture07](https://piazza.com/class_profile/get_resource/lczhmwfibzedv/ldjqxoqclpj44v),LICS 2.1-2.2,,
4,Feb 7,proof theory of predicate logic,[lecture08](https://piazza.com/class_profile/get_resource/lczhmwfibzedv/ldjqxrwdg6c4d0),LICS 2.3,,
,Feb 9,"semantics of predicate logic, SMT solving",[lecture09](https://piazza.com/class_profile/get_resource/lczhmwfibzedv/ldtp6e5dsxh7ae),"LICS 2.4, [SMT](https://people.eecs.berkeley.edu/~sseshia/pubdir/SMT-BookChapter.pdf)",[hw02](https://colostate.instructure.com/courses/162255/assignments/2090921) due,
5,Feb 14,linear temporal logic (LTL),[lecture10](https://piazza.com/class_profile/get_resource/lczhmwfibzedv/ldwmz0k72wi5i4),LICS 3.2,[hw03](https://github.com/csu-nvs/s23-assignment-hw03) assigned,
,Feb 16,model checking,[lecture11](#),LICS 3.3,,
6,Feb 21,computation tree logic (CTL),[lecture12](#),LICS 3.4,,
,Feb 23,CTL model checking,[lecture13](#),LICS 3.6.1,[hw03](https://github.com/csu-nvs/s23-assignment-hw03) due,
7,Feb 28,*video lecture: LTL model checking*,[lecture14](#),LICS 3.6.3,[hw04](https://github.com/csu-nvs/s23-assignment-hw04) assigned,
,Mar 2,TBA,,,,
8,Mar 7,paper presentation,[Veriflow: Verifying Network-Wide Invariants in Real Time](https://pbg.cs.illinois.edu/papers/khurshid13veriflow.pdf),,,
,Mar 9,paper presentation,[Header space analysis: Static checking for networks](https://www.usenix.org/system/files/conference/nsdi12/nsdi12-final8.pdf),,[hw04](https://github.com/csu-nvs/s23-assignment-hw04) due,project proposal due
9,Mar 14,*no class (holiday)*,,,,
,Mar 16,*no class (holiday)*,,,,
10,Mar 21,paper presentation,[Debugging the data plane with anteater](https://www.cs.cornell.edu/~ragarwal/pubs/anteater.pdf),,,
,Mar 23,paper presentation,[Kuai: A model checker for software-defined networks](https://ieeexplore.ieee.org/iel7/6975680/6987576/06987609.pdf?casa_token=qhsI6CsNbX8AAAAA:ewLof28_tNC9dYzj0dIZiovhkPkq6ACzPtEge_EeodYCC0nvi3E5ZzMuo2bJTJsTc8kkRiqC),,,
11,Mar 28,paper presentation,[Checking beliefs in dynamic networks](https://www.usenix.org/system/files/conference/nsdi15/nsdi15-paper-lopes.pdf),,,
,Mar 30,paper presentation,[Abstractions for Network Update](https://people.csail.mit.edu/alizadeh/courses/6.888/papers/consistentupdates.pdf),,,
12,Apr 4,paper presentation,[Efficient Synthesis of Network Updates](https://jrmcclurg.com/papers/pldi_2015_paper.pdf),,,
,Apr 6,paper presentation,[TRANSIT: Specifying Protocols with Concolic Snippets](http://acg.cis.upenn.edu/papers/pldi13_transit.pdf),,,
13,Apr 11,program syntax/semantics,[lecture15](#),LICS 4.1-4.2.1,,
,Apr 13,program verification,[lecture16](#),LICS 4.2.2-4.2.4,,
14,Apr 18,Hoare logic,[lecture17](#),LICS 4.3,[hw05](https://github.com/csu-nvs/s23-assignment-hw05) assigned,
,Apr 20,verification conditions,[lecture18](#),[Weakest Preconditions](https://www.lri.fr/~marche/MPRI-2-36-1/2013/poly1.pdf),,
15,Apr 25,paper presentation,[NetKAT: Semantic Foundations for Networks](https://www.cs.cornell.edu/~jnfoster/papers/frenetic-netkat.pdf),,,
,Apr 27,paper presentation,[VeriCon: towards verifying controller programs in software-defined networks](https://www.cs.technion.ac.il/~shachari/dl/pldi2014.pdf),,,
16,May 2,paper presentation,[p4v: Practical Verification for Programmable Data Planes](https://dl.acm.org/doi/pdf/10.1145/3230543.3230582),,,presentation slides due
,May 4,**project presentations**,,,[hw05](https://github.com/csu-nvs/s23-assignment-hw05) due,
17,May 9,*no class (final exam week)*,,,,
,May 11,*no class (final exam week)*,,,,final report due
